,idiom,definition,Sentiment_Score
0,a moot point,A subject which gives rise to argument or debate.,-1.50
1,nothing doing,This term means that there is no way you would accept to do what is proposed.,0.40
2,at odds,To disagree with someone.,-1.60
3,olive branch,To show that someone wants to end a disagreement and make peace.,1.00
4,out of the question,To be impossible and is therefore not worth discussing.,-0.90
5,over someone's dead body,This expression is used by someone who absolutely refuses to allow someone to do something.,1.40
6,pick a fight,To deliberately look for an opportunity to start a quarrel or begin an argument.,0.30
7,pick holes,To criticize something or try to find fault with it.,-3.30
8,press something home,To insist on a point in a discussion or argument.,-1.50
9,running battle,To argue or disagree about something over a long period of time.,-3.00
10,send someone packing,"To tell someone to leave, in a very forceful and unfriendly way.",-2.20
11,shouting match,An argument or debate where people shout loudly at each other.,-1.50
12,sink someone's differences,To decide to forget disagreements.,-2.70
13,sit on the fence,To avoid taking sides in a discussion or argument.,-2.70
14,skating on thin ice,To do or say something that could cause disagreement or trouble.,-3.20
15,split hairs,To pay too much attention to differences that are very small or unimportant.,-2.20
16,water under the bridge,If something difficult or unpleasant took place in the past but is no longer important.,-2.40
17,wipe the slate clean,"To make a fresh start and forget all past offences, disagreements or mistakes.",-4.30
18,cat and dog life,A life in which partners are constantly or frequently quarrelling.,0.00
19,caught in the crossfire,To suffer the effects of an argument or dispute between two people or groups.,-5.70
20,clear the air,"To try to remove the causes of fear, worry or suspicion by talking about the problem openly.",-7.40
21,dead set against,To be strongly opposed to something.,1.10
22,devil's advocate,To pretend to be against an idea or plan in order to determine the validity of the arguments in favour of it.,-0.20
23,fight like cat and dog,"Two people who fight or argue frequently have violent arguments, even though they are fond of each other.",-0.95
24,go against the tide/stream,"To refuse to conform to current trends, or the opinions or behaviour of other people.",-1.20
25,hammer and tongs,"To argue fiercely, with a lot of energy and noise.",-0.30
26,let bygones be bygones,To decide to forget about past disagreements.,-2.70
27,let sleeping dogs lie,To ask someone not to interfere with a situation because they could cause problems.,-1.70
28,at loggerheads,To disagree very strongly with someone.,0.00
29,lock horns,To argue or fight with someone about something.,-3.00
30,no love lost,When two people do not like each other at all.,-1.50
31,make a mountain out of a molehill,"To make a small, unimportant problem seem much more serious than it is.",-3.80
32,much ado about nothing,To make a lot of fuss about something which is not important.,-0.80
33,argue the toss,To dispute a decision or choice which has already been made.,-1.70
34,all hell broke loose,A sudden angry or noisy reaction to something.,-3.00
35,battle lines are drawn,This expression is used to say that opposing groups are ready to defend the reason behind the conflict.,0.20
36,battle of wills,"A conflict, argument or struggle where both sides are determined to win is described as a battle of wills.",-1.50
37,blamestorming,"A discussion among a group of people who try to determine who or what is to blame for a particular mistake, failure or wrongdoing.",-5.10
38,bone of contention,A matter or subject about which there is a lot of disagreement.,-1.40
39,bone to pick,To be annoyed with someone and want to talk to them about it.,-1.30
40,in the bad books,To have someone's disapproval.,0.00
41,bury the hatchet,When people who have had a disagreement decide to forget their quarrel and become friends again.,-0.30
42,call someone's bluff,To challenge someone to do what they threaten to do (while believing that they will not dare to do it).,-1.30
43,up in arms,To be very angry.,-2.80
44,get off someone's back,To be annoyed and ask them to stop finding faults or criticize you.,-6.50
45,bear with sore head,To bevery irritable and bad-tempered.,-2.10
46,bite head off,To criticize someone strongly.,-0.50
47,black mood,"To be irritable, angry or even depressed.",-6.70
48,blow a fuse,To suddenly lose your temper and become very angry.,-6.30
49,blow a gasket,To explode with anger.,-2.70
50,blow someone's top,To suddenly become very angry.,-2.80
51,cheesed off,"To be annoyed, bored or frustrated.",-5.10
52,come down like a ton of bricks,To be criticized severely because you have done something wrong.,-5.60
53,for crying out loud,"To show irritation, exasperation or anger.",-5.00
54,cut it out,To telling someone to stop doing something.,-1.20
55,drive up the wall,Where someone does something that greatly annoys or irritates you.,-4.50
56,eat you alive,To criticize someone severely because you are angry with them.,-5.90
57,fit to be tied,"To be extremely irritated, upset or angry.",-7.40
58,get/take flak,To receive severe criticism for something you have done.,-3.50
59,lea in someone's ear,"After an attempt at something, you are angrily reprimanded or humiliated.",-3.20
60,fly off the handle,To become suddenly very angry.,-2.80
61,foam at the mouth,To be extremely angry about something.,-2.80
62,get somebody's goat,To annoy or irritate someone.,-3.70
63,get someone's knickers in a twist,"To be angry, nervous or anxious when faced with a difficult situation.",-5.90
64,get a rise out of,To make someone react angrily by jokingly saying something that you know will irritate them.,-3.60
65,get in someone's hair,To annoy someone so much that they cannot get on with what they are doing.,-1.90
66,get on someone's nerves,To annoy or innitate someone a great deal.,1.20
67,give it a rest,To ask someone to stop doing something such as complaining or talking continuously.,-2.00
68,give a piece of someone's mind,"To tell someone exactly what you think, in a very angry manner.",-2.80
69,give the (rough) edge of one's tongue,To scold someone severely or speak to someone very aggressively or rudely.,-8.20
70,give a tongue-lashing,"To scold someone severely,or speak to someone very aggressively or rudely.",-6.20
71,gloves are off,This expression is used when there are signs that a fight is about to start.,-1.60
72,go ballistic,When someone becomes very angry.,-2.80
73,go off the deep end,When someone becomes so angry or upset that they cannot control their emotions.,-5.60
74,go postal,To lose your temper and express your anger in a violent way.,-9.10
75,go spare,To lose your temper completely.,-3.50
76,go through the roof,To become very angry.,-2.80
77,good riddance,This expression is used to express relief at becoming free of an unpleasant or unwanted person or thing.,1.40
78,harp on,To tire others by talking continuously and tediously about it.,0.00
79,haul over the coals,To  reprimand someone harshly because they have done something wrong or incorrectly.,-2.10
80,hot under the collar,"To feel annoyed, indignant or embarrassed.",-4.90
81,jump down someone's throat,To suddenly start shouting at someone in a very angry manner.,-2.80
82,kick yourself,To be angry with yourself for something you have or have not done.,-2.30
83,like a red flag to a bull,To make sure someone is very angry or upset.,-3.60
84,look daggers at,To look at someone very angrily.,-2.30
85,make someone's hackles rise,To make you angry.,-2.30
86,make a song and dance,If someone complains in an annoying way or becomes unnecessarily excited about something unimportant.,-3.20
87,mind someone's own business,A rude way of saying that somone is interfering in something that does not concern them.,-2.00
88,more heat than light,To cause anger or intense reaction but doesn't clarify anything.,-1.20
89,quick temper,To get angry very easily.,-0.40
90,rant and rave,To protest noisily and forcefully.,-1.00
91,rap on the knuckles,"To punish or reprimand, but not very severely, as a reminder not to do something again.",2.55
92,road rage,Aggressive driving habits sometimes resulting in violence against other drivers.,-3.70
93,scream blue murder,To shout or complain very loudly as if something very serious has happened.,-2.30
94,see red,To become suddenly become very angry or annoyed.,-4.90
95,short fuse,To become angry easily or quickly.,-0.90
96,skin someone alive,To punish someone severely.,-4.40
97,smooth someone's ruffled feathers,To make someone feel less angry or offended.,-2.30
98,steamed up,"To become very angry, excited or enthusiastic about something.",1.80
99,step on someone's toes,To annoy or irritate someone by intervening in a situation that is their responsibility.,-3.70
100,stick in someone's throat,Difficulty of accepting and makes you angry or resentful.,-4.20
101,a storm is brewing,"There is going to be trouble, probably with outbursts of anger or emotion.",-4.40
102,tear a strip off,To reprimand someone severely for doing something wrong.,-4.10
103,tell a thing or two,To express your thoughts usually criticism very clearly.,0.30
104,makes someone's blood boil,To make you really angry.,-2.80
105,that's going too far,To do something that is considered extreme or unacceptable.,-2.00
106,take the biscuit,This expression refers to something very annoying or irritating.,-4.70
107,the last straw,This expression means that this is the latest unpleasant event and that you cannot tolerate the situation any longer.,-2.10
108,throw a wobbly,"When someone, usually a capricious person,throws a wobbly, they have a fit of nerves or bad temper and lose all self-control.",-4.90
109,try someone's patience,To find it difficult to be patient with someone because of their irritating attitude or behaviour.,-3.50
110,vent someone's spleen,To release or express all your anger about something.,-2.70
111,want someone's head on a platter,When someone makes you so angry that you want them to be punished.,-4.70
112,afraid of someone's own shadow,To be very nervous or easily frightened.,-2.10
113,bated breath,To be anxious and excited about an imminent event.,0.40
114,make someone's blood run cold,Something which shocks or scares you a lot.,-3.00
115,break out in a cold sweat,"To begin to perspire a lot, usually from anxiety.",-0.70
116,bundle of nerves,"Someone who is very nervous, tense or worried.",-5.20
117,butterflies in stomach,To feel very nervous.,-1.60
118,can't stand the pace,To be unable to do things well when there is a lot of pressure.,-0.10
119,cat on hot bricks,To be very nervous or restless.,-3.20
120,on the edge of one's seat,To be very interested in something and fits with both extremely exciting and nerve-wracking.,4.90
121,get someone's fingers burnt,To suffer as a result of an unsuccessful action and are nervous about trying again.,-5.10
122,heart in someone's mouth,To feel extremely anxious or nervous faced with a dangerous or unpleasant situation.,-7.30
123,heart misses a beat,To have sudden feeling of fear or excitement.,0.50
124,heebie-jeebies,"A state of apprehension, nervousness or anxiety.",-4.00
125,hold someone's breath,To wait anxiously or excitedly for something to happen or be announced.,1.40
126,"if you can't stand the heat, get out of the kitchen","This expression means that if you feel that there is too much pressure, you can leave.",-1.40
127,ignorance is bliss,"This means that if you don't know about a problem or unpleasant fact, you won't worry about it.",1.50
128,get/have the jitters,To become very nervous or anxious and begin to shake.,-3.80
129,have kittens,"A dramatic way of expressing worry, anxiety or fear.",-4.80
130,nerves of steel,To not be afraid in difficult or dangerous situations.,-3.60
131,pins and needles,To be very anxious or nervous about what is going to happen.,-3.10
132,quaking in someone's boots,"When someone is extremely scared, it is said that they arequaking in their boots.",-2.40
133,scare out of someone's wits,To be very frightened or worried.,-4.10
134,scare daylights out of,To be terrified.,-3.00
135,scared stiff,To be so frightened that you're unable to move.,-3.00
136,shake like a leaf,To tremble with fear or nervousness.,-4.50
137,on tenterhooks,To be in a state of anxious suspense or excitement.,1.20
138,tongue-tied,To have difficulty in expressing yourself because you are nervous or embarrassed.,-4.00
139,whistle in the dark,To try to hide your fear in a scary or dangerous situation.,-7.20
140,at someone's wit's end,To be very worried about something and do not know what to do.,-1.70
141,ants in someone's pants,To be very restless or excited about something.,0.30
142,champ at the bit,"To be ready and eager to start an activity, and to show impatience at being delayed.",0.30
143,dial it back,"To reduce the intensity of something, or tone it down.",0.00
144,bright-eyed and bushy-tailed,To be very enthusiastic and full of energy.,3.80
145,cause a stir,To create an atmosphere of excitement or great interest.,8.40
146,do nothing by halves,When a person does everything they are engaged in completely and thoroughly.,1.70
147,eager beaver,"A person who is hardworking and enthusiastic, sometimes considered overzealous.",2.20
148,"eat, sleep and breathe something",To be enthusiastic and passionate about something that you think about it constantly.,4.60
149,fever pitch,A very intense and exciting situation.,3.50
150,fling someone into,To do an activity with a lot of energy and enthusiasm.,3.00
151,go the extra mile,To do more than what is expected of you.,0.00
152,hold someone's horses,To think someone is doing something too fast and should slow down and not rush into further action.,0.00
153,lick someone's lips,To show that you're excited about something and are eager for it to happen.,2.90
154,put someone's heart into,To  be very enthusiastic and invest a lot of energy and hard work in something.,3.40
155,raring to go,To be very eager and enthusiastic about the idea of doing something.,4.70
156,bare your heart (or soul) to someone,To reveal your innermost thoughts and feelings to someone.,0.00
157,bear the brunt,To suffer the most when something bad or unpleasant happens.,-7.60
158,bent out of shape,To become annoyed or upset about something that is usually not that important or cannot be avoided.,-2.60
159,beside someone (with emotion),To lose your self-control because of the intensity of the emotion you are feeling.,-1.20
160,bored to tears,To find something so dull and uninteresting that it makes you sad enough to cry.,-6.95
161,carry the torch for,To have strong feelings for someone with whom you do not or cannot have a relationship.,2.30
162,wouldn't be caught/seen dead,To be too ashamed or embarrassed of something.,-3.60
163,chip on someone's shoulder,"To feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour.",-2.10
164,close to home,"A remark or comment so true, or it affects you so directly, that you feel uncomfortable.",-1.60
165,come apart at the seams,To be extremely upset or under severe mental stress.,-6.00
166,cork up something,To fail to show or express feelings or emotions.,-2.50
167,cut to the quick,To hurt someone's feelings or offend them deeply.,-3.60
168,deep down,"If you talk about how someone is, or feels, deep down, you are describing what they are like or what they really feel deep inside, behind the outward appearance.",1.50
169,fish out of water,To feel uncomfortable in unfamiliar surroundings.,-1.60
170,fit of pique,"Someone who reacts by showing their resentment or annoyance when their pride has been wounded, or they feel insulted.",-4.10
171,Freudian slip,A mistake made by a speaker which is considered to reveal their true thoughts or feelings.,-1.40
172,have someone's heart in the right place,"A person who has their heart in the right place has kind feelings and good intentions, even if the results are not too good.",6.20
173,get a grip on one's self,To try to control your feelings so as to be able to deal with a situation.,0.00
174,get it out of someone's system,This expression means that you get rid of a strong emotion or desire by expressing it openly or trying to fulfill it.,5.90
175,get worked up,"To become upset, annoyed or excited, often unnecessarily.",-1.80
176,go to pieces,To become so upset or distressed that you cannot lead a normal life.,-4.92
177,groan inwardly,"To feel like expressing despair, disapproval or distress, but you remain silent.",-1.10
178,guilty pleasure,"Enjoying something which is not generally held in high regard, while at the same time feeling a bit guilty about it.",1.10
179,hard as nails,To be unsentimental and show no sympathy.,0.30
180,head over heels in love,When a person falls passionately in love with another.,5.60
181,change of heart,"To change your attitude or feelings, especially towards greater friendliness or cooperation.",4.50
182,couldn't give a hoot,To not care at all about something.,-2.20
183,keep a stiff upper lip,To contain your emotion and do not let other people see your feelings.,0.00
184,lick someone's wounds,"To try to recover your confidence or spirit after a defeat, failure or disappointment.",-3.60
185,look on the bright side,To view a mostly unpleasant situation in a positive and optimistic way and the see the favourable aspects.,1.80
186,"love me, love my dog","This expression means that if someone loves you, they must love everything about you, including everyone and everything you love.",9.10
187,lump in someone's throat,To have a tight feeling in your throat because of a strong emotion such as sadness or gratitude.,3.20
188,makes someone's ears burn,"To be embarrassed by what you hear, especially if the conversation is about you.",-1.50
189,makes someone's flesh crawl,To fill you with disgust or make you feel very nervous.,-4.50
190,mixed feelings,To react to something with conflicting emotions; you are happy and unhappy at the same time.,-0.80
191,no hard feelings,To feel no resentment or bitterness about something.,-4.80
192,not give a hang,To be totally indifferent to it and do not care at all about it.,-3.50
193,not turn a hair,To show no emotion in circumstances where a reaction is expected.,-1.20
194,nose out of joint,To offends or annoy.,-3.90
195,open old wounds,"To revive memories of an unpleasant event, situation or dispute that took place in the past.",-2.40
196,pour someone's heart out,To express your feelings freely.,1.90
197,proud as a peacock,To be extremely proud.,2.60
198,pleased as punch,To be delighted or feels very satisfied about something.,4.60
199,put foot in mouth,"To say something that offends, upsets or embarrasses someone.",-5.20
200,reduce to tears,When your behaviour or attitude makes someone cry.,-2.10
201,regain one's composure,To calm down and control your emotions again after a stressful or upsetting event.,-3.10
202,save face,To avoid humiliation or embarrassment and preserve dignity and the respect of others.,-2.00
203,have a soft spot,To like someone.,1.50
204,speak volumes,"To express a reaction or opinion very clearly, with no need for words.",0.50
205,let off steam,To release surplus energy or strong feelings either through intense physical activity or by talking in an unrestrained manner.,3.70
206,in a stew,To be worried and agitated.,-3.20
207,a stitherum,"Someone who is (all) in a stitherum is excited, agitated or confused about something.",-1.90
208,strike a raw nerve,To upset someone because they are very sensitive about the subject.,-1.60
209,swallow someone's pride,To accept something humiliating or embarrassing.,-1.20
210,sweet nothings,Pleasant but unimportant words that lovers say to each other.,2.80
211,take a fancy,To develop a fondness for someone or begin to like them.,4.00
212,take a load/weight off someone's mind,To bring great relief because a problem has been solved.,4.60
213,tear someone's hair out,To be extremely agitated or distressed about something.,-4.80
214,wear someone's heart on someone's sleeve,To allow others to see your emotions or feelings.,0.90
215,wish the ground would swallow someone up,When you are so embarrassed by something that you would like to disappear.,-1.90
216,thank someone's lucky stars,To express heartfelt gratitude or feeling particularly fortunate.,7.70
217,think the sun rises and sets on someone,To think the sun rises and sets on someone.,0.00
218,think the world of,To admire someone very much.,2.10
219,thinly veiled,"If something such as a feeling or reaction is thinly veiled, it is barely hidden.",0.50
220,tug at the heartstrings,To cause others to feel a great deal of pity or sadness.,0.00
221,weak at the knees,"To barely be able to stand because of emotion, fear or illness.",-3.90
222,be/mean the world to someone,To be very precious to someone.,3.20
223,written all over face,When someone's feelings or thoughts are very clear.,2.10
224,with bells on,To be delighted and eager to go somewhere.,3.80
225,blow away the cobwebs,To feel more lively and refresh your ideas.,2.40
226,chill out,"When people chill out, often after a period of heavy work or nervous tension, they do something that helps them to calm down and relax for a while.",2.40
227,in someone's element,"To do something that you do well, and you are enjoying yourself.",3.50
228,feast someone's eyes on,To be delighted and gratified by what you see.,3.90
229,footloose and fancy-free,To have few responsibilities or  commitments of any kind and feel free to do as they please.,6.50
230,in full swing,"When something, such as an event, gets into full swing, it is at its busiest or liveliest time.",2.10
231,full of the joys of spring,"To be happy, enthusiastic and full of energy.",6.00
232,have a ball,To enjoy yourself immensely.,2.20
233,have the time of someone's life,To enjoy yourself very much.,2.20
234,have a whale of a time,To  enjoy themselves a lot.,2.20
235,let your hair down,Suggest to someone to relax and enjoy themselves.,4.10
236,life and soul of the party,The life and soul of the party is the most lively and amusing person present at an event.,6.20
237,live the life of Riley,"A person who lives the life of Riley has a comfortable and enjoyable life, without having to make much effort.",4.20
238,more fun than a barrel of monkeys,If something is very amusing or enjoyable.,4.50
239,paint the town red,"To go out and enjoy a lively evening in bars, night-clubs, etc.",4.10
240,party is over,"When the period of happiness, freedom, enjoyment etc. has come to an end, and life is going to return to normal.",8.40
241,pulling someone's leg,To tease someone by telling them something that is not true.,-1.30
242,pull the other one,"After hearing an unlikely story, this is a way of telling the speaker that you neither believe what they say nor whatever they may say next.",0.00
243,punch line,The punch line is the funny sentence that ends a joke or an amusing story.,5.00
244,ring out the old year and ring in the new,This expression means to announce and celebrate the end of one year and the beginning of the next.,2.70
245,social butterfly,A person who has a lot of friends and acquaintances and likes to flit from one social event to another.,3.90
246,sow one's wild oats,"A person, usually a man, who sows their wild oats goes through a period of carefree pleasure-seeking while they are young.",1.70
247,take it easy,"When you relax, or do things at a comfortable pace, you take it easy.",6.10
248,tickle the ivories,This is a humorous way of talking about playing the piano.,2.40
249,wet the baby's head,To have drink to celebrate the birth of a baby.,2.70
250,the world is someone's oyster,To be free and able to enjoy the pleasures and opportunities that life has to offer.,8.00
251,on cloud nine,To be very happy because something wonderful has happened.,6.40
252,cry someone's eyes out,To cry a lot and for a long time.,-2.10
253,like a dog with two tails,To be extremely happy.,3.20
254,down in the dumps,To be depressed or feeling gloomy.,-2.40
255,down in the mouth,"To look unhappy, discouraged or depressed.",-5.80
256,face like a wet week-end,To look sad and miserable.,-4.30
257,fool's paradise,To be in a state of contentment that will not last because their happiness is based on illusion or false hope.,6.00
258,grin from ear to ear,To look vey satisfied and happy.,4.50
259,grin like a Cheshire cat,When someone has a smile on their face because they are happy or satisfied about something.,6.00
260,happy camper,To be content or satisfied with what is happening in your lifes and have no complaints.,-1.10
261,happy as a flea in a doghouse,To be  very happy and content.,3.20
262,happy as Larry,To be very happy indeed.,3.20
263,happy-go-lucky,To be cheerful and carefree all the time.,4.20
264,someone's heart sinks,To feel very unhappy and despondent.,-4.90
265,jump for joy,To expresshappiness through excited movements and gestures.,1.40
266,life is just a bowl of cherries,This expression means that life is pleasant and uncomplicated.,2.30
267,music to someone's ears,When the information that you receive makes you feel very happy.,3.20
268,never looked back,"After an event which changed your life for the better, you continue to be happy with the situation.",4.60
269,over the moon,To be very happy about something.,3.20
270,in raptures,To be delighted or very enthusiastic.,5.00
271,stars in someone's eyes,To looking extremely happy.,3.20
272,in seventh heaven,To be extremely happy.,3.20
273,in stitches,To laugh a lot.,2.60
274,thrilled to bits,To be extremely pleased about something.,2.40
275,tickled pink,To be very pleased about something.,2.40
276,on top of the world,To be extremely happy because everything is going well.,4.30
277,walking on air,When you are happy and excited because of a pleasant event that makes you feel as if you are floating.,6.40
278,whatever floats someone's boat,"Although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy.",1.20
279,away with the fairies,To be in a dreamy state so that you're not totally in touch with reality and give the impression of being slightly mad.,-0.80
280,go bananas,If someone becomes very emotional and starts behaving in a crazy way.,-0.30
281,basket case,A person whose agitated mental state leaves them helpless or unable to cope with things.,-4.00
282,bats in the belfry,To be crazy.,-1.40
283,to go out of someone's mind,"To be crazy, foolish or insane.",-4.20
284,harebrained idea,"An idea or suggestion that is considered to be silly, foolish or totally impractical.",-1.00
285,"the lights are on, but no one is home","This is a humorous way of referring to someone who is lacking intelligence or sanity, or to someone who is simply preoccupied and not paying attention.",3.70
286,lose someone's marbles,"To become mentally confused, or no longer behave sensibly or rationally.",-2.50
287,not all there,"To behave strangely at times, or seems a bit odd.",-2.50
288,not in someone's right mind,To not behave in a logical or sensible way.,0.00
289,not playing with a full deck (of cards),To lack intelligence or does not have full mental abilities.,1.80
290,go nuts,"Someone who has become completely foolish, eccentric or mad.",-4.30
291,off someone's rocker,Someone who is completely crazy.,-1.90
292,rats in the attic,Someone who is bit mad or that their behaviour is eccentric.,-2.20
293,a screw loose,Someone who's behaviour is strange and they appear slightly mad.,-2.50
294,stark raving mad,Someone whos is completely crazy.,-1.90
295,stir crazy,Someone who become very agitated or nervous because they have been confined to a place for too long.,-4.10
296,take leave of someone's senses,To believe someone's behaviour is crazy.,-1.40
297,back the wrong horse,To support the wrong person.,-0.40
298,bark up the wrong tree,"To do the wrong thing, because your beliefs or ideas are incorrect or mistaken.",-3.60
