,idiom,definition,Sentiment_Score
299,botch up/make a botch of,"To spoil something, or make a mess of it, by doing a job badly or incorrectly.",-3.60
300,eat crow/ eat humble pie,To admit that you were wrong about something and apologize.,-0.90
301,eat someone's words,To admit that your were mistaken in what you said.,-0.70
302,himalayan blunder,To stupidly make a serious mistake or error.,-5.40
303,overshoot the mark,To make a mistake as a result of misjudging something.,-1.40
304,see the error of someone's ways,To understand that what they have done wrong and accept to change their behaviour.,-0.50
305,swallow someone's words,To admit that you were wrong.,-1.30
306,trial and error,Attempting to achieve a satisfactory result by testing and eliminating various methods until the best one is found.,4.70
307,wide of the mark,"When something is incorrect or inadequate, or it is not what was expected.",-1.70
308,black tie event,"A formal event at which men are required to wear a dinner jacket, or tuxedo, and a black bow tie.",0.00
309,bow and scrape,To be excessively polite or servile.,0.00
310,the done thing,The correct way to behave in a particular social situation.,0.00
311,excuse someone's French,An apology for using crude or offensive language.,-4.50
312,gatecrash,To attend a private social event without being invited.,0.00
313,watch someone's language,To warn someone to be careful what they say so as not to upset or offend anyone.,1.10
314,mind someone's Ps and Qs,To advise someone to be careful about how they behave and what they say.,0.60
315,overstep the mark,To go too far and upset someone by saying something or behaving in a way that is unacceptable.,-3.60
316,speak out of turn,To intervene at the wrong moment or they say something tactless or inappropriate.,-2.10
317,stand on ceremony,To behave in a very formal way.,0.00
318,take French leave,To leave an official or social event without notifying the person who invited you.,-0.20
319,time-honoured practice,"A custom that is universally respected, or a traditional way of doing something.",2.10
320,achilles heel,"A vulnerable area or a weak spot, in an otherwise strong situation, that could cause one's downfall or failure.",-2.80
321,alarm bells ringing,"To make someone begin to worry, because it shows that there may be a problem.",-3.60
322,asking for trouble,To behave so stupidly that he/she is likely to have problems.,-4.83
323,back to the wall,To be in serious difficulty.,-1.70
324,ball and chain,A burden or problem that ties you down and prevents you from doing what you want. It can also refer to one's spouse.,-3.00
325,bane of someone's life,The cause of your problems or your unhappiness.,-4.10
326,bite off more than someone can chew,"To try to do something that is too difficult for you, or more than you can manage.",-1.50
327,on the blink,To not work properly and needs servicing or repair.,0.00
328,break the back of the beast,To succeed in overcoming a major difficulty.,0.80
329,can of worms,"A situation that it is complicated, unpleasant and difficult to deal with.",-3.60
330,carry the can,"To accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly.",-0.20
331,catch 22,"A  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first.",-1.90
332,chill wind,To encounter the problems or trouble it causes.,-3.40
333,cloud on the horizon,"A problem or difficulty that is predictable, or seems likely to arise in the future.",-3.10
334,come to a head,A situation reaches a point where action has to be taken.,0.20
335,come hell or high water,To do something in spite of the difficulties involved.,-3.60
336,come out in the wash,To tell someone not to worry about a mistake or problem because it won't have any serious effect and everything will work out all right.,-0.90
337,cross to bear,To have a serious problem or heavy responsibility that they must accept because they cannot change it.,-0.40
338,cross that bridge when we come to it,This is another way of saying we will deal with that problem when it occurs and not worry about it before.,0.20
339,crux of the matter,The most vital or main part of a problem.,0.00
340,dead man walking,"Someone who will inevitably be in great trouble very soon, especially a person who is about to lose their job or position.",-0.30
341,dodge a bullet,To narrowly avoid a very serious problem or a disaster.,-7.80
342,elephant in the room,"A problem that no one wants to discuss, but is so abvious that it cannot be ignored.",0.50
343,fat hits the fire,"When trouble breaks out, or a situation deteriorates as a result of something said or done.",-1.70
344,get to the bottom of,You solve it by finding out the true cause of it.,0.80
345,go haywire,Where a situation becomes disorganized or goes out of control.,-1.20
346,go pear-shaped,Where a plan either goes wrong or it produces an undesirable result.,-4.00
347,go through the mill,"You experience a very difficult period, or are exposed to rough treatment.",-2.30
348,when the going gets tough,"When faced with a difficult or dangerous situation, strong people take action in order to solve the problem.",-2.20
349,grasp at straws,"To try any method, even if it has little chance of success, in an attempt to find a solution.",4.00
350,hang out to dry,"If you abandon someone who is in difficulty, without giving any assistance or support.",-3.00
351,high and dry,To find yourself in a difficult situation without help or resources.,-3.20
352,in dire straits,To be in a very difficult situation.,-2.00
353,in the lurch,To be in a difficult or embarrassing situation.,-3.10
354,in over someone's head,To be involved in something that is too difficult for you to handle.,-1.50
355,juggle frogs,Trying to deal with many different tasks at the tame time and finding the situation difficult.,-1.50
356,last resort,The last thing you would do if you were desperate and all other courses of action had failed.,-3.60
357,see light at end of tunnel,To see signs of hope for the future after a long period of difficulty.,0.50
358,millstone around someone's neck,A problem or responsibility that becomes a burden and a source of worry.,-5.50
359,be murder,Something very difficult or uncomfortable.,-4.10
360,necessary evil,To not like something but you understand that it has to exist and be accepted.,0.90
361,one's number is up,"Either a person is in serious difficulty and something bad is going to happen, or the time has come when they will die.",-7.10
362,ostrich strategy/politics,To choose to ignore or evade an obvious problem in the hope that it will resolve itself or disappear.,-0.60
363,out of sync,To not be coordinated and are not taking place at the same time or at the same speed.,0.00
364,out of whack,Something which does not work properly or is not in good order.,-1.90
365,paper over the cracks,To conceal a problem rather than dealing with it effectively.,0.20
366,pass the buck,To accuse someone of not taking responsibility for a problem and letting others deal with it instead.,-2.50
367,in a pickle,To be in a difficult situation and need help.,0.20
368,quick fix,There is no simple solution.,0.10
369,put on a brave face,"When confronted with difficulties, you try to look cheerful and pretend that the situation is not as bad as it is.",2.60
370,saved by the bell,When something happens at the last minute to rescue you from a difficult situation.,0.80
371,scratch the surface,To deal with only a small part of a problem.,-1.70
372,where the shoe pinches,An area that is often a source of problems or difficulties.,-2.90
373,put a spanner in the works,To cause problems and prevent something from happening as planned.,-1.60
374,spell trouble,To signify possible problems in the future.,-1.70
375,spiral out of control,"A situation which gets worse or increase continuously, creating a situation that becomes difficult to manage.",-1.10
376,on a sticky wicket,To find yourself in a situation that is difficult to deal with.,-1.50
377,stir up a hornet's nest,To do something which causes a commotion and provokes criticism and anger.,-5.90
378,stop the rot,"When you prevent a situation from deteriorating, especially in business or politics.",0.10
379,stumbling block,A problem or obstacle that prevents you from achieving something.,-2.90
380,take the bull by the horns,When a person decides to act decisively in order to deal with a difficult situation or problem.,-3.20
381,take the easy way out,"To choose the easiest way to deal with a difficult situation, even if it is not the best solution.",-4.20
382,tar baby,A sticky situation or problem for which it is virtually impossible to find a solution.,-0.40
383,teething problems,The difficulties encountered during the initial stage of an activity or project.,-1.20
384,thorny issue,To deal with a difficult or unpleasant problem.,-5.30
385,throw money at,"To try to solve a problem by spending money on it, without using any other methods.",-0.90
386,throw it over the wall,"To deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination.",-1.70
387,tide over,To support someone through a difficult period for a certain length of time.,1.30
388,tight spot,To be in a very difficult situation.,-2.00
389,tip of the iceberg,The part that is known of a problem or situation which is thought to be much more serious.,-2.50
390,trilemma,"A situation which is even more difficult than a dilemma, because a choice must be made between three options that seem equally undesirable.",-5.10
391,twist in the wind,To be left to face a difficult situation without any assistance or support.,0.20
392,unmitigated disaster,A complete failure or a total catastrophe.,-5.70
393,uphill battle,A struggle against very unfavourable circumstances.,-1.30
394,vicious circle,"When the solution to a problem creates another problem similar to the original, or makes it worse, so that the process starts all over again.",-1.80
395,wave a dead chicken,"When faced with a serious problem, if you take steps that you  know in advance will be futile, to show that you made an effort.",-3.90
396,wheels fall off,When a situation gets out of control and everything starts to go wrong.,-2.10
397,without a hitch,"When something takes place exactly as planned, without any difficulties.",1.20
398,work cut out for someone,If you have to face a difficult task or a challenging situation.,-0.90
399,yoke around neck,"An obligation, commitment or restraint that becomes an oppressive burden.",-2.00
400,batten down the hatches,"To prepare yourself for danger or a forthcoming difficult period, like a ship preparing for a storm.",-2.40
401,calculated risk,A risk taken with full knowledge of the dangers involved.,-3.30
402,throw caution to the wind,To start taking risks and stop worrying about the danger involved.,-6.10
403,close shave,A situation where an accident or a disaster nearly happened.,-5.20
404,coast is clear,There is no danger in sight or that nobody can see you.,-3.60
405,cry wolf,To call for help when you are not really in danger.,4.60
406,dice with death,If you put your life at risk by doing something very dangerous.,-3.70
407,dicey situation,Any situation that is potentially risky or dangerous.,-2.90
408,false move,To do something which may have unpleasant consequences.,-2.10
409,fraught with danger,An activity or situation that is fraught with danger is full of risks or serious difficulties.,-5.00
410,by a hair's breadth,To only just manage escape from a danger.,-1.70
411,hang on for dear life,To be in a dangerous situation and grip something firmly so as not to fall.,-2.10
412,live to tell the tale,To survive a terrible experience.,-2.10
413,look before you leap,This is something you say when advising someone to think carefully about the possible dangers before doing something.,-1.70
414,no-go area,An area where it is dangerous to go.,-2.10
415,out of harm's way,To put something in a safe place where it won't be damaged.,3.80
416,play with fire,People who take unnecessary risks or behave in a dangerous way.,-3.20
417,put someone's head on the block,If you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong.,-6.90
418,ride it out,"If you manage to survive a dangerous or very unpleasant situation, like a ship sailing through a storm.",-2.70
419,risk life and limb,To be in danger of death or serious injury.,-7.40
420,in safe hands,"When something is being looked after by a reliable person or organization, and is therefore at no risk.",-2.30
421,on the safe side,"To do something as a precaution, to avoid any risks.",-2.30
422,safety in numbers,When being part of a group makes people feel more secure and more confident when taking action.,5.10
423,sail close to the wind,To do something dangerous or act just within the limits of what is legal or acceptable.,-0.30
424,save someone's neck,To manage to escape from serious danger or trouble.,-3.70
425,at stake,"Someone who has a lot at stake is in a risky situation, with a lot to be won or lost.",0.60
426,take cover,"To hide from a danger, or bad weather, in a place where they find protection.",-5.60
427,take life in someone's own hands,To take the risk of being killed.,-4.60
428,watch someone's step,To advise someone to be careful how they behave in order to avoid danger.,-3.00
429,wrapped up in cotton wool,To be over-protected from dangers and risks.,-3.30
430,asleep at the wheel,"When someone is not sufficiently attentive, especially at a critical moment when vigilance is required.",-1.80
431,cat nap,To have a short sleep during the day.,0.00
432,forty winks,"To have a short sleep or rest, generally during the day.",0.00
433,hit the hay,To go to bed.,0.00
434,hit the sack,To go to bed.,0.00
435,lie in,To stay in bed after the normal time for getting up.,0.00
436,out like a light,To be so tired that you fall asleep very quickly.,-3.00
437,ready to drop,To be extremely tired and nearly too exhausted to stay standing.,-3.90
438,sleep like a log,To sleep deeply or soundly.,0.00
439,sleep on it,To take time (until the next day) to think something over before making a decision.,0.00
440,not sleep a wink,To not sleep a all.,0.00
441,not lose any sleep,When something happens that in your opinion is not a cause for worry.,1.90
442,sleeping partner,"A person who invests in a business without taking an active part in its management, and whose association with the enterprise is not public knowledge.",-1.70
443,ace a test,To obtain a very high score or an excellent result.,2.70
444,have an ace up someone's sleeve,To have something in reserve with which you can gain an advantage and obtain success.,6.10
445,hold all the aces,To be in a very strong position because they have more advantages than anyone else.,4.80
446,also-ran,An unsuccessful competitor whose performance is so much poorer than the winner's that it appears insignificant.,-4.90
447,back to square one,"To not succeeded in what they were trying to do, so they have to start again.",-1.80
448,in the bag,When it becomes obvious that success or victory is going to be achieved.,2.70
449,bear fruit,To produces positive or successful results.,5.40
450,up a blind alley,To follow an ineffective course of action which leads nowhere or produces no results.,0.70
451,blockbuster,"Something that is outstanding, impressive or particularly successful, such as a film or a book.",8.60
452,blow up in face,"When working on a plan or project, if it suddenly goes wrong or fails.",-3.90
453,bottom fell out,"When something causes a plan, project or venture to collapse or fail.",-4.70
454,bring the house down,To give a very successful performance.,3.30
455,cake not worth the candle,The advantages to be gained from doing something are not worth the effort involved.,2.20
456,chance your arm,To decide to do something even though there is little hope of success.,5.40
457,had your chips,When someone has completely failed in what they set out to achieve.,-2.80
458,close but no cigar,An effort to do something which was a good attempt but not quite good enough to succeed.,7.85
459,come to grief,"When someone has either had an accident, are destroyed or end in failure.",-6.60
460,come up in the world,A person who is richer than before and has a higher social status.,2.40
461,come up roses,"The end result is successful or positive, even if there were difficult times.",3.90
462,turn up trumps,To have achieved unexpectedly good results.,1.90
463,cook someone's goose,To spoil that person's chances of success.,3.50
464,on course for,"If you are on course for something, you are likely to achieve it.",0.00
465,crest of the wave,To be very successful in what you are doing.,3.30
466,cut someone's losses,"If you end or withdraw from something that is already failing, in order to reduce the loss of money, time or effort invested in it, you cut your losses.",-6.40
467,cut someone's own throat,To do something that will be the cause of your own failure or ruin your chances in the future.,-4.30
468,dead cert,Something that is certain to happen or be achieved.,1.10
469,dead duck,A project or scheme which has been abandoned or is certain to fail.,-3.40
470,dead in the water,A plan at a standstill or has ceased to function and is unlikely to be reactivated in the future.,0.00
471,dice are loaded,"If everything seems to work to your disadvantage, and you are not likely to succeed.",-4.00
472,disaster written all over,"If something, such as a plan or idea, is thought to be heading for complete failure, or will cause a lot of trouble.",-4.00
473,all downhill,"If something is all downhill or downhill all the way, it is very easy to achieve considering the difficulties encountered beforehand.",1.20
474,draw a blank,"If you look for or try to remember something, and draw a blank, you fail to find it.",-2.50
475,every dog has its day,Where everyone can be successful at something at some time in their life.,2.80
476,fall at first hurdle,To fail to overcome the first difficulty encountered.,-3.90
477,fall flat,"Fails to amuse people, or fails to have the effect that was intended.",-1.90
478,fall from grace,"To have done something wrong, immoral or unacceptable, and as a result  have lost their good reputation.",-5.50
479,fall on someone's sword,To accept the consequences of an unsuccessful or wrong action.,-2.00
480,feather in someone's cap,Proud of something.,2.10
481,fight a losing battle,Trying to do something even when there is little chance of succeeding.,2.20
482,reach first base,To make progress or begin to have success with someone or something.,4.50
483,flash in the pan,Something that it is not likely to be repeated.,0.00
484,will never fly,To be unsuccessful.,-1.50
485,with flying colours,To do something very successfully.,2.70
486,flying start,Something immediately becomes successful.,2.80
487,fool's errand,"To try to do something which is useless, unnecessary or has no chance of success.",0.70
488,foot in the door,When someone has a small but successful start in something and will possibly do well in the future.,5.85
489,get a foothold,"To secure a position for yourself in a business, profession or organisation.",1.40
490,front runner,"In a contest, race or election, the front runner is the person who is most likely to succeed or win.",5.50
491,get the better of someone,If someone or something gets the better of you.,1.90
492,go to the dogs,"To say that a company, organization or country is going to the dogs means that it is becoming less successful or efficient than before.",3.60
493,go great guns,To be successful or doing very well.,4.40
494,go off with a bang,To be very successful.,3.30
495,go up in smoke,A plan which fails or ends before producing a result.,-1.80
496,got it made,Someone who has got it made is so happy and successful in life that they have no worries.,4.30
497,hit pay dirt,"If you hit pay dirt, you are lucky and suddenly find yourself in a successful money-making situation.",2.80
498,on its knees,"When something such as a country or organization is on its knees, or brought to its knees, it is in a very weak situation or on the verge of failure.",-4.70
499,landslide victory,The victory of a candidate or a political party by an overwhelming majority is called a landslide victory.,1.70
500,lead to a dead end,"If a plan or project leads to a dead end, it develops no further because it has no future.",-5.70
501,leaps and bounds,To make rapid or spectacular progress or growth.,3.40
502,let slip through fingers,To fail to obtain something or keep it.,-2.50
503,live to fight another day,"Even though you have not been successful, you will have another chance in the future to try again.",-2.70
504,come a long way,To have made a lot of progress or have become successful.,4.60
505,at a low ebb,A person or organization at a low ebb is not as strong or successful as usual.,-0.60
506,make a comeback,To succeed in returning to their former successful career.,5.00
507,make the cut,To reach a required standard or succeed in passing from one round of a competition to another.,2.30
508,make a go of,To succeed in your enterprise or produce good results.,4.10
509,make headway,To make progress in what you are trying to achieve.,1.80
510,make inroads,To advance successfully or make progress.,4.00
511,make a killing,To have had great financial success.,5.80
512,make or break,Circumstances or events that will make or break someone or something will cause either total success or total ruin.,-0.10
513,make a pig's ear of,To do a task or a chore very badly or make a complete mess of it.,-4.10
514,miss the boat,To fail to take advantage of an opportunity because you don't act quickly enough.,0.30
515,moment of truth,"A critical or decisive time when you face the reality of a situation, and find out if your efforts have succeeded.",1.40
516,move up in the world,To become more important in society or successful in their career.,4.10
517,murphy's law,"To express a sentiment of bad luck and the idea that if anything can go wrong, it will.",-2.60
518,not getting anywhere,To make no progress at all.,0.60
519,nothing succeeds like success,The success often leads to further successes.,5.30
520,"nothing ventured, nothing gained",You cannot expect to achieve anything if you risk nothing.,-1.10
521,out of the picture,When people have been eliminated in a contest or tournament.,0.00
522,ahead of the pack,When someone is better or more successful than their rivals.,5.20
523,pack it in,To abandon it or give it up.,-1.90
524,pass muster,To be satisfactory or acceptable.,2.80
525,on the pig's back,A successful situation and everything is going well for that person.,3.90
526,place in the sun,"To reach a position which provides you with success, wealth and/or happiness, or whatever you have been hoping to obtain in life.",9.40
527,put the kibosh on,If you do something to prevent a plan or activity from happening or being successful.,2.90
528,pyrrhic victory,"A victory that is obtained at a tremendous cost, or causes such a great loss that it is not worth winning.",-1.50
529,rags to riches,When someone starts off being very poor and become very rich and successful.,3.80
530,riding high,Someone who is enjoying a period of success or popularity.,7.20
531,rise to the occasion,To manage to do something successfully in difficult circumstances.,0.70
532,run rings around,To show much more skill or ability than your opponent.,1.80
533,sail through,To succeed in doing it without difficulty.,3.60
534,save the day,"If you find a solution to a serious problem, and ensure the success of something that was expected to fail.",1.10
535,sink or swim,"Having to do something alone, and their success or failure depends entirely on their own efforts.",-0.60
536,sky's the limit,There is no limit to the possibility of success or progress for someone or something.,3.30
537,smash hit,"A very successful performance in music, films, theatre, etc.",3.30
538,snatch victory from the jaws of defeat,"If you manage to win something such as a match or a contest, when you are on the verge of losing.",1.20
539,spread oneself too thin,Doing too many things at the same time and can't do any of them well.,1.10
540,throw a spanner in the works,To do something that causes problems and prevents the success of a plan or event.,1.30
541,throw in the towel,To admit that you cannot succeed.,-1.40
542,top dog,When someone is more successful or more powerful than others.,6.10
543,on the up and up,To become increasingly successful.,2.80
544,weather the storm,To succeed in surviving a difficult period or situation.,1.90
545,win-win,A situation or proposition where both or all parties benefit from the outcome.,3.70
546,wither on the vine,Failing or ceases to exist because people do not support or encourage it.,-6.30
547,wooden spoon,The person who finishes last in a race or competition receives an imaginary prize.,2.30
548,have the world at someone's feet,To be extremely successful and greatly admired.,6.60
549,have the world by its tail,To be very successful and has many opportunities to choose from.,4.90
550,bolt from the blue,When something happened totally unexpectedly and was a complete surprise.,1.10
551,out of the blue,When something happened unexpectedly and causes a surprise.,1.10
552,caught unaware,To be surprised and unprepared for what happens.,0.90
553,do a double take,To look again in surprise at something unexpected.,1.10
554,drop a bombshell,To make an unexpected announcement which will greatly change a situation.,0.00
555,eyes on stalks,When your eyes are wide open with surprise or amazement.,3.60
556,jaw drop,To show total amazement.,2.50
557,jump out of someone's skin,To be extremely surprised or shocked.,-0.40
558,knock someone's socks off,"If something amazes you, or impresses you greatly.",4.30
559,knock down with feather,To emphasize the fact that you were extremely surprised.,1.40
560,lo and behold,"To express surprise, especially at a sudden or unexpected appearance.",1.10
561,nine-day wonder,"An event which is a nine-day wonder causes interest, surprise or excitement for a short time, but it doesn't last.",2.65
562,raise eyebrows,To show surprise or disapproval  by the expression on their face.,1.10
563,rooted to the spot,"If you are so shocked, surprised or scared, your reaction is so strong that you are unable to move.",0.25
564,seeing is believing,"When you see something that seems incredible you can be sure it exists, or that what you have been told is really true.",1.30
565,stop dead in someone's tracks,To stop suddenly because you are totally surprised or frightened.,-2.20
566,struck dumb,"To be unable to speak because you're are so surprised, shocked or frightened by something.",-2.45
567,taken unaware,To be suprised because you were not expecting it.,0.00
568,there's no accounting for taste,To indicate surprise at another person's likes or dislikes.,1.20
569,wonders will never cease,To express pleasure or surprise at something.,3.80
570,words fail me,"When someone is so shocked, surprised or touched by something that they don't know what to say.",-0.85
571,bandit territory,"A geographical area where law enforcement is practically impossible, because people ignore all rule.",-1.50
572,beat black and blue,If a person is covered with bruise marks caused by being hit.,0.00
573,beat the living daylights,To hit someone very hard and repeatedly.,-0.90
574,come to blows,To start to fight.,-1.60
575,fight tooth and nail,To fight with energy and determination.,1.20
576,free-for-all,This term refers to an uncontrolled situation such as an argument or fight where everyone present can do what they like.,-2.60
577,tit for tat,This expression refers to an injury or insult given in return for one received.,-4.10
578,through the wars,"To show signs of rough treatment, injury or damage.",-4.00
579,in the good books,To have someone's approval.,2.10
580,cut the mustard,To succeed.,2.20
581,hand to mouth,To have just enough money to live on and nothing extra:.,0.00
582,awful lot,A very large amount.,0.00
